outcome_type,title,time_frame,OG000_Mean_value,OG000_Mean_spread,OG000_units,OG000_num_analyzed,OG001_Mean_value,OG001_Mean_spread,OG001_units,OG001_num_analyzed
PRIMARY,Change From Baseline for Numerical Rating Scale (NRS) Pain Scores at Endpoint-LOCF (Last Observation Carried Forward) Re,"Baseline, Week 15 or study discontinuation",-1.03,0.12,,,-1.48,0.12,,
SECONDARY,"Percentage of Participants Who Was Categorized as ""Improved (Very Much Improved, Much Improved, or a Minimally Improved)",Week 15 or study discontinuation,62.1,,,,70.0,,,
SECONDARY,Change From Baseline in Medical Outcomes Study (MOS) Sleep Scale at Endpoint- Sleep Disturbance,"Baseline, Week 15 or study discontinuation",-8.13,1.31,,,-17.62,1.31,,
SECONDARY,Change From Baseline in Medical Outcomes Study (MOS) Sleep Scale at Endpoint- Snoring,"Baseline, Week 15 or study discontinuation",-1.61,1.33,,,3.37,1.33,,
SECONDARY,Change From Baseline in Medical Outcomes Study (MOS) Sleep Scale at Endpoint- Awaken Short of Breath or With a Headache,"Baseline, Week 15 or study discontinuation",-3.02,1.36,,,-8.01,1.36,,
SECONDARY,Change From Baseline in Medical Outcomes Study (MOS) Sleep Scale at Endpoint- Quantity of Sleep,"Baseline, Week 15 or study discontinuation",0.17,0.06,,,0.46,0.06,,
SECONDARY,Change From Baseline in Medical Outcomes Study (MOS) Sleep Scale at Endpoint- Sleep Adequacy,"Baseline, Week 15 or study discontinuation",8.02,1.41,,,15.50,1.40,,
SECONDARY,Change From Baseline in Medical Outcomes Study (MOS) Sleep Scale at Endpoint- Somnolence,"Baseline, Week 15 or study discontinuation",-4.66,1.29,,,6.65,1.28,,
SECONDARY,Change From Baseline in Medical Outcomes Study (MOS) Sleep Scale at Endpoint- Overall Sleep Problems Index,"Baseline, Week 15 or study discontinuation",-7.07,0.96,,,-10.06,0.95,,
SECONDARY,Medical Outcomes Study (MOS) Sleep Scale - Number of Participants With Optimal Sleep at Endpoint,Week 15 or study discontinuation,53,,,,71,,,
SECONDARY,Change From Baseline in Sleep Quality Score at Endpoint,"Baseline, Week 15 or study discontinuation",-0.79,0.12,,,-1.52,0.12,,
SECONDARY,Change From Baseline in Fibromyalgia Impact Questionnaire (FIQ) at Endpoint - Total Scores,"Baseline, Week 15 or study discontinuation",-7.26,1.08,,,-10.59,1.07,,
